Rental Price,Room Type,Accommodation Facilities,Link
RM 599.00,Middle Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8211155/-free-wifi-female-insta-medium-room-near-mmu-uoc-at-lakefront-residence-cyberjaya
RM 650.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8211149/-free-wifi-female-insta-medium-room-garden-view-near-mmu-uoc-at-lakefront-residence-cyberjaya
RM 500.00,Middle Room,"['Washing Machine', 'TV', 'Share Bathroom', 'Near LRT / MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8150225/middle-room-at-cyberjaya-selangor
RM 900.00,Studio,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Private Bathroom', 'Near KTM / LRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210021/studio-at-centrus-shopping-mall-cyberjaya
RM 500.00,Middle Room,"['Washing Machine', 'TV', 'Share Bathroom', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210269/middle-room-at-cyberjaya-selangor
RM 650.00,Single Room,"['Air-Conditioning', 'Washing Machine', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom', 'Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210914/single-room-at-serin-residency-cyberjaya
RM 630.00,Middle Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Near KTM / LRT', 'Near KTM', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'Playground']",https://www.ibilik.my/rooms/8159259/middle-room-at-cyberjaya-selangor
RM 750.00,Master Room,"['Washing Machine', 'TV', 'Private Bathroom', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210436/master-room-at-cyberia-smarthomes-cyberjaya
RM 530.00,Single Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Near LRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8176886/mutiara-ville-single-room-at-cyberjaya-selangor
RM 750.00,Master Room,"['Air-Conditioning', 'Washing Machine', 'TV', 'Private Bathroom', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8209962/master-room-at-cyberjaya-selangor
